南京埃斯顿自动化,已上市,1000-5000人,2023-03-17 11:16:57,PLC调试工程师,宜宾,"['3-4年', '大专', '交通补贴', '五险一金', '年终奖金', '专业培训', '包住宿工作餐']",1-1.5万·13薪,https://jobs.51job.com/all/coB2MBYwBlVWIBbABkUT0.html
四川泰科尼科精密工业,民营,,2023-03-03 13:00:14,PLC电气工程师,成都·高新区,"['3-4年', '大专', '三菱PLC', '基恩士PLC', '机电一体化', '五险一金', '员工旅游', '年终奖金', '工作餐', '商业保险', '定期体检']",1.1-1.5万,https://jobs.51job.com/all/coBmcFZ14-VG9VMwBhVzU.html
北京曙龙科技,民营,50-150人,2023-02-28 15:01:42,PLC工程师,绵阳,"['2年', '大专', '触摸屏', '电气', '自动化', 'plc', '自动化工程师', '年终奖金', '餐饮补贴', '五险一金', '全勤奖', '加班补贴', '交通补贴']",8千-1.2万,https://jobs.51job.com/all/coAmBXNFU_AT5VNlQ3XTo.html
安徽巨一科技,已上市,1000-5000人,2023-02-10 09:00:14,PLC岗（白车身焊装海外项目）,上海,"['2年', '大专', '五险一金', '免费班车', '员工旅游', '年终奖金', '绩效奖金', '出国机会', '专业培训', '餐饮补贴']",1.5-2.5万,https://jobs.51job.com/all/coVDBdMVMyAjlSMgBlB2Y.html
云南佳叶现代农业发展,民营,50-150人,2023-03-28 10:00:14,PLC工程师,昆明·盘龙区,"['5-7年', '本科', '自动化', '电气', 'plc编程', '电气自动化', '电气控制系统', '物流自动化', '电气控制', '五险', '双休', '通讯补贴', '绩效奖金', '定期体检']",8千-1.3万·13薪,https://jobs.51job.com/all/coVDRRPF48U2QGYw1mUzA.html
云南新天地人工环境工程,民营,50-150人,2023-03-27 10:00:17,PLC自控工程师,昆明·盘龙区,"['3-4年', '本科', '自控', '自控工程师', '周末双休', '五险', '生日补贴', '节日福利']",6千-1.2万,https://jobs.51job.com/all/coBWFWN147VWhTM1E7VzY.html
北京曙龙科技,民营,50-150人,2023-03-04 15:00:12,自动化PLC工程师,绵阳,"['2年', '大专', '触摸屏', '变频器', '电工', '电气', 'plc', '专业培训', '年终奖金', '餐饮补贴', '五险一金', '弹性工作', '通讯补贴', '免费班车']",8千-1.2万,https://jobs.51job.com/all/coAmBXNFU_AT5VNlQ3XTo.html
重庆君屹工业自动化,民营,150-500人,2023-03-24 10:02:16,PLC电气调试工程师,重庆·渝北区,"['2年', '本科', '五险一金', '补充公积金', '员工旅游', '绩效奖金', '年终奖金', '餐饮补贴']",8千-1万,https://jobs.51job.com/all/coBWcFaVY1BjAAbARjB2A.html
武汉精测电子集团,已上市,1000-5000人,2023-03-26 10:00:17,技术支持（PLC),武汉,"['2年', '大专', '节日福利', '五险一金', '餐饮补贴', '年终奖金', '定期体检', '带薪年假', '交通补贴', '补充医疗保险', '免费班车', '员工食堂']",8千-1.3万,https://jobs.51job.com/all/coUTUBbF40Bz8CYlYyVDY.html
成都超网实业,民营,50-150人,2023-02-24 10:22:33,PLC工程师,成都·双流区,"['1年', '大专', '触摸屏', '变频器', '电工', '机电', '电气', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']",1-2万·13薪,https://jobs.51job.com/all/coVjIAYl84DzNVMVM0VzY.html
善诚科技发展（合肥）,外资（非欧美）,50-150人,2023-03-26 10:00:21,PLC电气工程师(合肥)(J10040),合肥,"['3-4年', '本科', '五险一金', '补充医疗保险', '年休假', '定期体检', '年终奖金', '员工旅游', '交通补贴']",1-1.5万·14薪,https://jobs.51job.com/all/coVDYAbFI3AzsGYlAzUz8.html
一路加自动化设备（苏州）,外资（非欧美）,少于50人,2022-07-26 13:46:45,真空设备PLC工程师,绵阳,"['1年', '大专', 'PLC', '五险一金', '免费班车', '各项补贴']",8千-1.2万,https://jobs.51job.com/all/coBWdWNAVvDzcAYgFiAWU.html
武汉精测电子集团,已上市,1000-5000人,2023-03-26 10:00:17,技术支持（PLC),武汉,"['2年', '大专', '节日福利', '五险一金', '餐饮补贴', '年终奖金', '定期体检', '带薪年假', '交通补贴', '补充医疗保险', '免费班车', '员工食堂']",8千-1.3万,https://jobs.51job.com/all/coUTUBbF40Bz8CYlYyVDY.html
上海望达企业管理,民营,少于50人,2023-02-10 05:49:37,外企电气plc调试工程师,重庆,"['2年', '大专', '电气', '机电', '机械', 'plc', 'eplan', '调试', '非标自动化', '汽车', '五险一金', '免费班车', '交通补贴', '专业培训', '年终奖金', '定期体检', '出国机会', '绩效奖金', '餐饮补贴']",1.5-2万,https://jobs.51job.com/all/coBmQBZQBqUWZUNgVvVjo.html
四川金石东方新材料科技,已上市,150-500人,2023-03-13 13:00:19,PLC电气工程师,成都·双流区,"['8-9年', '大专', 'plc', '电气设计', '编程', '五险一金', '年终奖金', '定期体检', '弹性工作', '餐饮补贴', '绩效奖金', '周末双休']",7千-1.2万,https://jobs.51job.com/all/coBmJcMAdjVm4EYQ1rAmI.html
